start,end,poi,ground,label_anon
2021-02-25 07:03:50,2021-02-25 07:06:22,"4240,4250",asphalt,label_0
2021-02-25 07:06:06,2021-02-25 07:08:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 06:54:39,2021-02-25 07:06:06,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:06:35,2021-02-25 07:07:21,"4240,4250",asphalt,label_0
2021-02-25 07:07:35,2021-02-25 07:12:30,"4240,4250",asphalt,label_0
2021-02-25 07:09:51,2021-02-25 07:10:10,4240,asphalt,label_3
2021-02-25 07:10:10,2021-02-25 07:11:33,4240,asphalt,label_3
2021-02-25 07:12:30,2021-02-25 07:18:43,4240,asphalt,label_3
2021-02-25 07:13:56,2021-02-25 07:18:34,4240,asphalt,label_0
2021-02-25 07:08:00,2021-02-25 07:14:33,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:14:33,2021-02-25 07:14:43,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:14:43,2021-02-25 07:15:08,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 07:15:08,2021-02-25 07:15:25,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:15:25,2021-02-25 07:16:16,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 07:16:16,2021-02-25 07:16:37,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:16:37,2021-02-25 07:17:05,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 07:17:05,2021-02-25 07:18:06,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:18:08,2021-02-25 07:19:04,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 07:19:04,2021-02-25 07:40:24,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:16:43,2021-02-25 07:22:08,4240,asphalt,label_3
2021-02-25 07:22:20,2021-02-25 07:23:51,4240,asphalt,label_0
2021-02-25 07:44:52,2021-02-25 07:45:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:45:07,2021-02-25 07:45:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:45:07,2021-02-25 07:45:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:45:26,2021-02-25 07:45:41,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:45:46,2021-02-25 07:45:55,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:46:04,2021-02-25 07:46:31,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:46:36,2021-02-25 07:46:45,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:47:04,2021-02-25 07:47:07,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:46:51,2021-02-25 07:47:02,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:48:56,2021-02-25 07:49:51,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:47:17,2021-02-25 07:47:27,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:47:51,2021-02-25 07:48:56,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:49:12,2021-02-25 07:49:49,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:49:51,2021-02-25 07:51:21,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:50:41,2021-02-25 07:51:05,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:51:21,2021-02-25 07:51:40,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:51:40,2021-02-25 07:53:56,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:53:56,2021-02-25 07:54:27,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:55:09,2021-02-25 07:56:06,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 07:55:12,2021-02-25 07:55:24,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:55:55,2021-02-25 07:56:11,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 07:56:17,2021-02-25 07:57:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 07:57:00,2021-02-25 08:06:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_5
2021-02-25 08:10:40,2021-02-25 08:22:31,"4220, 4230, 4240, 4250 ,4260",hard soil,label_5
2021-02-25 08:11:56,2021-02-25 08:12:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 08:10:40,2021-02-25 08:22:31,4240,hard soil,label_6
2021-02-25 08:41:06,2021-02-25 08:41:13,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 08:41:10,2021-02-25 08:46:10,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 08:46:18,2021-02-25 08:53:40,"4220, 4230, 4240, 4250 ,4260",soft soil,label_2
2021-02-25 08:48:15,2021-02-25 08:50:20,4240,soft soil,label_7
2021-02-25 08:50:25,2021-02-25 08:50:43,4240,pipe,label_7
2021-02-25 08:50:43,2021-02-25 08:53:07,4240,asphalt,label_7
2021-02-25 08:53:10,2021-02-25 08:53:13,4240,pipe,label_7
2021-02-25 08:53:19,2021-02-25 08:53:22,4240,pipe,label_7
2021-02-25 08:53:59,2021-02-25 08:55:27,4240,soft soil,label_7
2021-02-25 08:53:40,2021-02-25 08:54:40,"4220, 4230, 4240, 4250 ,4260",hard soil,label_4
2021-02-25 08:54:40,2021-02-25 09:10:20,"4220, 4230, 4240, 4250 ,4260",soft soil,label_2
2021-02-25 09:03:46,2021-02-25 09:05:08,4240,soft soil,label_7
2021-02-25 09:13:00,2021-02-25 09:21:29,4220,asphalt,label_6
2021-02-25 09:10:20,2021-02-25 09:14:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 09:14:00,2021-02-25 09:15:00,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:15:00,2021-02-25 09:15:20,"4220, 4230, 4240, 4250 ,4260",soft soil,label_2
2021-02-25 09:15:20,2021-02-25 09:21:29,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:21:29,2021-02-25 09:24:35,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:24:35,2021-02-25 09:25:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:25:00,2021-02-25 09:26:21,"4220, 4230, 4240, 4250 ,4260",soft soil,label_2
2021-02-25 09:24:45,2021-02-25 09:26:20,4240,soft soil,label_7
2021-02-25 09:26:26,2021-02-25 09:26:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:27:09,2021-02-25 09:27:34,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:28:05,2021-02-25 09:28:35,4240,soft soil,label_7
2021-02-25 09:28:40,2021-02-25 09:29:00,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:29:01,2021-02-25 09:30:52,4240,soft soil,label_7
2021-02-25 09:32:00,2021-02-25 09:32:18,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:32:57,2021-02-25 09:33:11,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:33:40,2021-02-25 09:34:18,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:34:35,2021-02-25 09:34:53,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:34:58,2021-02-25 09:35:10,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:35:34,2021-02-25 09:35:54,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:35:55,2021-02-25 09:36:10,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:36:10,2021-02-25 09:36:53,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:36:53,2021-02-25 09:37:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 09:37:10,2021-02-25 09:40:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 09:36:12,2021-02-25 09:38:12,4240,soft soil,label_7
2021-02-25 09:38:41,2021-02-25 09:39:23,4240,soft soil,label_7
2021-02-25 09:39:41,2021-02-25 09:40:50,4240,soft soil,label_7
2021-02-25 09:40:57,2021-02-25 09:41:31,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:41:44,2021-02-25 09:43:24,4240,soft soil,label_7
2021-02-25 09:53:47,2021-02-25 09:54:04,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:52:51,2021-02-25 09:53:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:41:42,2021-02-25 09:52:51,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 09:54:28,2021-02-25 09:54:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:54:38,2021-02-25 09:56:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:55:18,2021-02-25 09:56:01,4240,soft soil,label_7
2021-02-25 09:56:18,2021-02-25 09:56:52,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:56:52,2021-02-25 09:57:17,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:57:17,2021-02-25 09:57:36,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:57:36,2021-02-25 09:58:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:58:00,2021-02-25 09:58:14,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:58:14,2021-02-25 09:58:41,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:58:41,2021-02-25 09:58:57,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 09:59:14,2021-02-25 09:59:33,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:59:33,2021-02-25 09:59:48,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 09:59:48,2021-02-25 10:00:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 09:59:01,2021-02-25 10:00:55,4240,soft soil,label_7
2021-02-25 10:01:40,2021-02-25 10:03:12,4240,soft soil,label_7
2021-02-25 10:00:00,2021-02-25 10:01:02,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:01:02,2021-02-25 10:01:24,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:01:24,2021-02-25 10:02:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:02:47,2021-02-25 10:03:00,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 10:04:10,2021-02-25 10:04:56,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:04:56,2021-02-25 10:05:11,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 10:05:30,2021-02-25 10:05:58,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:05:58,2021-02-25 10:06:23,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:06:23,2021-02-25 10:06:43,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:06:43,2021-02-25 10:07:20,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:07:20,2021-02-25 10:07:35,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:07:35,2021-02-25 10:08:02,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:08:02,2021-02-25 10:08:23,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:08:23,2021-02-25 10:08:46,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:08:46,2021-02-25 10:09:11,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:09:11,2021-02-25 10:09:34,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:09:34,2021-02-25 10:09:54,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:09:54,2021-02-25 10:10:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:10:22,2021-02-25 10:10:49,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 10:10:49,2021-02-25 10:11:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:11:22,2021-02-25 10:13:59,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:14:20,2021-02-25 10:17:18,"4220, 4230, 4240, 4250 ,4260",soft soil,label_4
2021-02-25 10:30:07,2021-02-25 10:30:13,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 10:30:20,2021-02-25 10:38:59,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:31:11,2021-02-25 10:33:15,"4230, 4240, 4250",asphalt,label_0
2021-02-25 10:33:24,2021-02-25 10:33:35,"4230, 4240, 4250",asphalt,label_0
2021-02-25 10:33:39,2021-02-25 10:38:25,"4230, 4240, 4250",asphalt,label_0
2021-02-25 10:39:03,2021-02-25 10:39:16,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 10:40:50,2021-02-25 10:40:59,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 10:42:39,2021-02-25 10:55:21,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 10:55:55,2021-02-25 10:56:25,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:56:25,2021-02-25 10:56:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 10:58:35,2021-02-25 10:58:47,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 11:37:40,2021-02-25 11:44:03,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 11:44:35,2021-02-25 11:44:54,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:44:54,2021-02-25 11:45:10,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:45:10,2021-02-25 11:45:35,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:45:35,2021-02-25 11:45:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:45:50,2021-02-25 11:46:00,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:46:00,2021-02-25 11:46:35,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:46:35,2021-02-25 11:47:01,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:47:01,2021-02-25 11:47:16,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:47:16,2021-02-25 11:48:07,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:48:07,2021-02-25 11:48:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:48:22,2021-02-25 11:48:57,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:48:57,2021-02-25 11:49:22,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:49:22,2021-02-25 11:49:32,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:49:02,2021-02-25 11:49:07,4240,pipe,label_7
2021-02-25 11:49:02,2021-02-25 11:49:50,"4220, 4230, 4240, 4250 ,4260",pipe,label_4
2021-02-25 11:49:50,2021-02-25 11:50:30,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:50:45,2021-02-25 11:53:41,4240,soft soil,label_7
2021-02-25 11:51:14,2021-02-25 11:51:23,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 11:52:20,2021-02-25 11:52:31,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 11:53:19,2021-02-25 11:53:39,"4220, 4230, 4240, 4250 ,4260",asphalt,label_1
2021-02-25 11:53:54,2021-02-25 11:54:03,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:54:43,2021-02-25 11:57:25,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 11:54:12,2021-02-25 11:54:39,4240,soft soil,label_7
2021-02-25 11:57:33,2021-02-25 11:57:58,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:57:58,2021-02-25 11:58:44,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:58:44,2021-02-25 11:59:00,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 11:59:00,2021-02-25 11:59:35,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 11:59:14,2021-02-25 11:59:30,4240,soft soil,label_7
2021-02-25 11:59:35,2021-02-25 12:00:30,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:00:34,2021-02-25 12:00:53,4240,soft soil,label_7
2021-02-25 12:00:30,2021-02-25 12:01:21,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:01:21,2021-02-25 12:02:51,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:02:51,2021-02-25 12:03:20,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:03:37,2021-02-25 12:04:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:03:20,2021-02-25 12:05:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:04:55,2021-02-25 12:05:10,4240,soft soil,label_7
2021-02-25 12:05:38,2021-02-25 12:05:55,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:06:05,2021-02-25 12:06:29,4240,soft soil,label_7
2021-02-25 12:05:55,2021-02-25 12:07:08,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:07:08,2021-02-25 12:07:29,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:07:31,2021-02-25 12:08:00,4240,soft soil,label_7
2021-02-25 12:07:29,2021-02-25 12:08:15,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:08:15,2021-02-25 12:08:25,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:08:25,2021-02-25 12:09:28,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:08:57,2021-02-25 12:09:25,4240,soft soil,label_7
2021-02-25 12:09:28,2021-02-25 12:09:38,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:09:38,2021-02-25 12:10:18,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:09:47,2021-02-25 12:10:05,4240,soft soil,label_7
2021-02-25 12:10:18,2021-02-25 12:10:34,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:10:34,2021-02-25 12:11:06,"4220, 4230, 4240, 4250 ,4260",asphalt,label_4
2021-02-25 12:10:43,2021-02-25 12:11:03,4240,soft soil,label_7
2021-02-25 12:11:06,2021-02-25 12:12:06,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:12:48,2021-02-25 12:16:13,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:12:27,2021-02-25 12:16:10,4240,soft soil,label_7
2021-02-25 12:16:33,2021-02-25 12:18:20,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:18:41,2021-02-25 12:19:07,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:19:20,2021-02-25 12:20:50,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:20:02,2021-02-25 12:20:28,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:20:59,2021-02-25 12:21:09,"4220, 4230, 4240, 4250 ,4260",soft soil,label_5
2021-02-25 12:25:12,2021-02-25 12:25:38,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:25:50,2021-02-25 12:26:11,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
2021-02-25 12:26:23,2021-02-25 12:26:57,"4220, 4230, 4240, 4250 ,4260",asphalt,label_2
