position_fiber,location_name
0,ref_fiber
10,ref_fiber
20,ref_fiber
30,ref_fiber
40,ref_fiber
50,ref_fiber
60,ref_fiber
70,ref_fiber
80,ref_fiber
90,ref_fiber
100,ref_fiber
110,ref_fiber
120,ref_fiber
130,ref_fiber
140,ref_fiber
150,ref_fiber
160,ref_fiber
170,ref_fiber
180,ref_fiber
190,ref_fiber
200,ref_fiber
210,ref_fiber
220,ref_fiber
230,ref_fiber
240,ref_fiber
250,ref_fiber
260,ref_fiber
270,ref_fiber
280,ref_fiber
290,ref_fiber
300,ref_fiber
310,ref_fiber
320,ref_fiber
330,ref_fiber
340,ref_fiber
350,ref_fiber
360,ref_fiber
370,ref_fiber
380,ref_fiber
390,ref_fiber
400,ref_fiber
410,ref_fiber
420,ref_fiber
430,ref_fiber
440,ref_fiber
450,ref_fiber
460,ref_fiber
470,ref_fiber
480,ref_fiber
490,ref_fiber
500,ref_fiber
510,ref_fiber
520,ref_fiber
530,ref_fiber
540,ref_fiber
550,ref_fiber
560,ref_fiber
570,ref_fiber
580,ref_fiber
590,ref_fiber
600,ref_fiber
610,ref_fiber
620,ref_fiber
630,ref_fiber
640,ref_fiber
650,ref_fiber
660,ref_fiber
670,ref_fiber
680,ref_fiber
690,ref_fiber
700,ref_fiber
710,ref_fiber
720,ref_fiber
730,ref_fiber
740,ref_fiber
750,ref_fiber
760,ref_fiber
770,ref_fiber
780,ref_fiber
790,ref_fiber
800,ref_fiber
810,ref_fiber
820,ref_fiber
830,ref_fiber
840,ref_fiber
850,ref_fiber
860,ref_fiber
870,ref_fiber
880,ref_fiber
890,ref_fiber
900,ref_fiber
910,ref_fiber
920,ref_fiber
930,ref_fiber
940,ref_fiber
950,ref_fiber
960,ref_fiber
970,ref_fiber
980,ref_fiber
990,ref_fiber
1000,ref_fiber
1010,ref_fiber
1020,ref_fiber
1030,ref_fiber
1040,ref_fiber
1050,ref_fiber
1060,ref_fiber
1070,ref_fiber
1080,ref_fiber
1090,ref_fiber
1100,ref_fiber
1110,ref_fiber
1120,ref_fiber
1130,ref_fiber
1140,ref_fiber
1150,ref_fiber
1160,ref_fiber
1170,ref_fiber
1180,ref_fiber
1190,ref_fiber
1200,ref_fiber
1210,ref_fiber
1220,ref_fiber
1230,ref_fiber
1240,ref_fiber
1250,ref_fiber
1260,near_pumping_station
1270,near_pumping_station
1280,near_pumping_station
1290,near_pumping_station
1300,near_pumping_station
1310,near_pumping_station
1320,near_pumping_station
1330,near_pumping_station
1340,near_pumping_station
1350,near_pumping_station
1360,near_pumping_station
1370,near_pumping_station
1380,near_pumping_station
1390,near_pumping_station
1400,near_pumping_station
1410,near_pumping_station
1420,near_pumping_station
1430,near_pumping_station
1440,near_pumping_station
1450,near_pumping_station
1460,near_pumping_station
1470,near_pumping_station
1480,near_pumping_station
1490,siphon_terlindenvijverstraat
1500,siphon_terlindenvijverstraat
1510,siphon_terlindenvijverstraat
1520,siphon_terlindenvijverstraat
1530,siphon_terlindenvijverstraat
1540,quiet
1550,quiet
1560,quiet
1570,quiet
1580,quiet
1590,quiet
1600,quiet
1610,quiet
1620,quiet
1630,quiet
1640,quiet
1650,quiet
1660,quiet
1670,quiet
1680,quiet
1690,quiet
1700,quiet
1710,quiet
1720,quiet
1730,quiet
1740,quiet
1750,quiet
1760,quiet
1770,quiet
1780,quiet
1790,quiet
1800,quiet
1810,quiet
1820,quiet
1830,quiet
1840,quiet
1850,quiet
1860,quiet
1870,quiet
1880,quiet
1890,quiet
1900,quiet
1910,quiet
1920,quiet
1930,quiet
1940,quiet
1950,quiet
1960,quiet
1970,quiet
1980,quiet
1990,quiet
2000,quiet
2010,fiber_exit_near_valve
2020,fiber_exit_near_valve
2030,fiber_exit_near_valve
2040,fiber_exit_near_valve
2050,fiber_exit_near_valve
2060,fiber_exit_near_valve
2070,fiber_exit_near_valve
2080,fiber_exit_near_valve
2090,fiber_exit_near_valve
2100,fiber_exit_near_valve
2110,fiber_exit_near_valve
2120,quiet
2130,quiet
2140,quiet
2150,quiet
2160,quiet
2170,quiet
2180,quiet
2190,quiet
2200,quiet
2210,quiet
2220,quiet
2230,quiet
2240,unidentified_false_positive
2250,unidentified_false_positive
2260,unidentified_false_positive
2270,unidentified_false_positive
2280,unidentified_false_positive
2290,unidentified_false_positive
2300,quiet
2310,quiet
2320,quiet
2330,quiet
2340,quiet
2350,quiet
2360,quiet
2370,quiet
2380,quiet
2390,quiet
2400,quiet
2410,quiet
2420,quiet
2430,quiet
2440,quiet
2450,quiet
2460,quiet
2470,quiet
2480,quiet
2490,quiet
2500,quiet
2510,quiet
2520,quiet
2530,unidentified_false_positive
2540,unidentified_false_positive
2550,unidentified_false_positive
2560,unidentified_false_positive
2570,unidentified_false_positive
2580,unidentified_false_positive
2590,unidentified_false_positive
2600,quiet
2610,quiet
2620,quiet
2630,quiet
2640,quiet
2650,turbulent_bend
2660,turbulent_bend
2670,turbulent_bend
2680,turbulent_bend
2690,turbulent_bend
2700,turbulent_bend
2710,turbulent_bend
2720,quiet
2730,quiet
2740,quiet
2750,quiet
2760,quiet
2770,quiet
2780,quiet
2790,quiet
2800,quiet
2810,quiet
2820,quiet
2830,quiet
2840,quiet
2850,quiet
2860,quiet
2870,quiet
2880,quiet
2890,quiet
2900,quiet
2910,quiet
2920,quiet
2930,quiet
2940,quiet
2950,quiet
2960,quiet
2970,quiet
2980,quiet
2990,quiet
3000,quiet
3010,quiet
3020,quiet
3030,quiet
3040,quiet
3050,quiet
3060,quiet
3070,quiet
3080,quiet
3090,quiet
3100,quiet
3110,quiet
3120,quiet
3130,quiet
3140,quiet
3150,quiet
3160,quiet
3170,quiet
3180,quiet
3190,quiet
3200,quiet
3210,siphon_vrijthout_creek
3220,siphon_vrijthout_creek
3230,siphon_vrijthout_creek
3240,siphon_vrijthout_creek
3250,siphon_vrijthout_creek
3260,quiet
3270,quiet
3280,quiet
3290,quiet
3300,quiet
3310,quiet
3320,quiet
3330,quiet
3340,quiet
3350,quiet
3360,quiet
3370,quiet
3380,quiet
3390,quiet
3400,siphon_vrijthout_forest
3410,siphon_vrijthout_forest
3420,siphon_vrijthout_forest
3430,siphon_vrijthout_forest
3440,quiet
3450,quiet
3460,quiet
3470,quiet
3480,quiet
3490,quiet
3500,quiet
3510,quiet
3520,quiet
3530,quiet
3540,quiet
3550,quiet
3560,quiet
3570,quiet
3580,quiet
3590,quiet
3600,quiet
3610,quiet
3620,quiet
3630,quiet
3640,quiet
3650,quiet
3660,quiet
3670,quiet
3680,quiet
3690,quiet
3700,quiet
3710,quiet
3720,quiet
3730,quiet
3740,quiet
3750,highway_crossing_E40
3760,highway_crossing_E40
3770,highway_crossing_E40
3780,highway_crossing_E40
3790,highway_crossing_E40
3800,highway_crossing_E40
3810,highway_crossing_E40
3820,highway_crossing_E40
3830,highway_crossing_E40
3840,highway_crossing_E40
3850,highway_crossing_E40
3860,highway_crossing_E40
3870,highway_crossing_E40
3880,highway_crossing_E40
3890,highway_crossing_E40
3900,highway_crossing_E40
3910,highway_crossing_E40
3920,highway_crossing_E40
3930,highway_crossing_E40
3940,highway_crossing_E40
3950,quiet
3960,quiet
3970,quiet
3980,quiet
3990,quiet
4000,quiet
4010,quiet
4020,quiet
4030,quiet
4040,quiet
4050,quiet
4060,quiet
4070,quiet
4080,quiet
4090,quiet
4100,quiet
4110,quiet
4120,quiet
4130,quiet
4140,quiet
4150,quiet
4160,quiet
4170,quiet
4180,quiet
4190,quiet
4200,quiet
4210,quiet
4220,quiet
4230,quiet
4240,quiet
4250,quiet
4260,quiet
4270,quiet
4280,quiet
4290,quiet
4300,quiet
4310,quiet
4320,quiet
4330,quiet
4340,quiet
4350,quiet
4360,quiet
4370,quiet
4380,quiet
4390,quiet
4400,quiet
4410,quiet
4420,quiet
4430,quiet
4440,quiet
4450,quiet
4460,quiet
4470,quiet
4480,quiet
4490,quiet
4500,quiet
4510,quiet
4520,quiet
4530,quiet
4540,quiet
4550,quiet
4560,quiet
4570,quiet
4580,quiet
4590,quiet
4600,quiet
4610,quiet
4620,quiet
4630,quiet
4640,quiet
4650,quiet
4660,quiet
4670,quiet
4680,quiet
4690,quiet
4700,quiet
4710,quiet
4720,quiet
4730,quiet
4740,quiet
4750,quiet
4760,quiet
4770,quiet
4780,quiet
4790,quiet
4800,quiet
4810,quiet
4820,quiet
4830,quiet
4840,quiet
4850,quiet
4860,quiet
4870,quiet
4880,quiet
4890,quiet
4900,quiet
4910,quiet
4920,quiet
4930,quiet
4940,quiet
4950,quiet
4960,quiet
4970,quiet
4980,quiet
4990,quiet
5000,quiet
5010,quiet
5020,quiet
5030,quiet
5040,quiet
5050,quiet
5060,quiet
5070,quiet
5080,quiet
5090,quiet
5100,quiet
5110,high_voltage_cabinet_brusselstraat_dilbeek
5120,high_voltage_cabinet_brusselstraat_dilbeek
5130,high_voltage_cabinet_brusselstraat_dilbeek
5140,high_voltage_cabinet_brusselstraat_dilbeek
5150,high_voltage_cabinet_brusselstraat_dilbeek
5160,quiet
5170,quiet
5180,quiet
5190,quiet
5200,quiet
5210,quiet
5220,quiet
5230,quiet
5240,quiet
5250,quiet
5260,quiet
5270,quiet
5280,quiet
5290,quiet
5300,quiet
5310,quiet
5320,quiet
5330,quiet
5340,quiet
5350,quiet
5360,quiet
5370,quiet
5380,quiet
5390,quiet
5400,quiet
5410,quiet
5420,quiet
5430,quiet
5440,quiet
5450,quiet
5460,quiet
5470,quiet
5480,quiet
5490,quiet
5500,quiet
5510,quiet
5520,quiet
5530,quiet
5540,quiet
5550,quiet
5560,quiet
5570,quiet
5580,quiet
5590,quiet
